method,file,exp,dice_score
STAPLE,0001.tif,masks_Feli,0.9669225911017433
STAPLE,0001.tif,masks_Martina,0.9611825850527175
STAPLE,0001.tif,masks_Niels,0.9277017358193369
STAPLE,0002.tif,masks_Feli,0.969297351188453
STAPLE,0002.tif,masks_Martina,0.9553248943224675
STAPLE,0002.tif,masks_Niels,0.9294637111983847
STAPLE,0003.tif,masks_Feli,0.9624583089641655
STAPLE,0003.tif,masks_Martina,0.9546333434538743
STAPLE,0003.tif,masks_Niels,0.9097467262604878
STAPLE,0004.tif,masks_Feli,0.9698494268156826
STAPLE,0004.tif,masks_Martina,0.9424199703279427
STAPLE,0004.tif,masks_Niels,0.8474040120085707
STAPLE,0005.tif,masks_Feli,0.9688723905653688
STAPLE,0005.tif,masks_Martina,0.9112515710999287
STAPLE,0005.tif,masks_Niels,0.8592757352406706
STAPLE,0006.tif,masks_Feli,0.9454951145340363
STAPLE,0006.tif,masks_Martina,0.9005931915215173
STAPLE,0006.tif,masks_Niels,0.883899889101199
STAPLE,0007.tif,masks_Feli,0.9685162708305997
STAPLE,0007.tif,masks_Martina,0.936356507554441
STAPLE,0007.tif,masks_Niels,0.8293427511073865
STAPLE,0008.tif,masks_Feli,0.9531807561078143
STAPLE,0008.tif,masks_Martina,0.9337489334628796
STAPLE,0008.tif,masks_Niels,0.8874607327626355
STAPLE,0009.tif,masks_Feli,0.9620963204680996
STAPLE,0009.tif,masks_Martina,0.91822496798011
STAPLE,0009.tif,masks_Niels,0.9117624574602413
STAPLE,0010.tif,masks_Feli,0.9549153380746425
STAPLE,0010.tif,masks_Martina,0.9684547027597736
STAPLE,0010.tif,masks_Niels,0.9338476276912218
STAPLE,0011.tif,masks_Feli,0.9699836274331455
STAPLE,0011.tif,masks_Martina,0.9251313328647837
STAPLE,0011.tif,masks_Niels,0.8748371174728529
STAPLE,0012.tif,masks_Feli,0.9531365061530637
STAPLE,0012.tif,masks_Martina,0.921648737253093
STAPLE,0012.tif,masks_Niels,0.9509051924224673
STAPLE,0013.tif,masks_Feli,0.9772591478119399
STAPLE,0013.tif,masks_Martina,0.9018520821382583
STAPLE,0013.tif,masks_Niels,0.8986370755440035
STAPLE,0014.tif,masks_Feli,0.9461817042170144
STAPLE,0014.tif,masks_Martina,0.9014012594315539
STAPLE,0014.tif,masks_Niels,0.9006633954857703
STAPLE,0015.tif,masks_Feli,0.9663701599641202
STAPLE,0015.tif,masks_Martina,0.932737377133477
STAPLE,0015.tif,masks_Niels,0.9125144803855039
