method,file,exp,dice_score
STAPLE,0001.png,Annemarie_masks,0.9040319127828657
STAPLE,0001.png,Feli_masks,0.9382826232470056
STAPLE,0001.png,Ida_masks,0.8516070032748024
STAPLE,0002.png,Annemarie_masks,0.9079948775454684
STAPLE,0002.png,Feli_masks,0.8384395850708924
STAPLE,0002.png,Ida_masks,0.8860559521666966
STAPLE,0003.png,Annemarie_masks,0.8648107439911846
STAPLE,0003.png,Feli_masks,0.9153568357695614
STAPLE,0003.png,Ida_masks,0.8560691394451699
STAPLE,0004.png,Annemarie_masks,0.8672474513438369
STAPLE,0004.png,Feli_masks,0.9074431323056582
STAPLE,0004.png,Ida_masks,0.8560388365169219
STAPLE,0005.png,Annemarie_masks,0.932298357877154
STAPLE,0005.png,Feli_masks,0.9234670912350464
STAPLE,0005.png,Ida_masks,0.8924833576590366
STAPLE,0006.png,Annemarie_masks,0.8588599981031582
STAPLE,0006.png,Feli_masks,0.8640660725500902
STAPLE,0006.png,Ida_masks,0.9125360053513167
STAPLE,0007.png,Annemarie_masks,0.8941097989347397
STAPLE,0007.png,Feli_masks,0.9179859612871859
STAPLE,0007.png,Ida_masks,0.8306822380915553
STAPLE,0008.png,Annemarie_masks,0.8576234199528103
STAPLE,0008.png,Feli_masks,0.8892971562304229
STAPLE,0008.png,Ida_masks,0.8877492228534677
STAPLE,0009.png,Annemarie_masks,0.8588657140703572
STAPLE,0009.png,Feli_masks,0.9290450662424299
STAPLE,0009.png,Ida_masks,0.8744781069359666
STAPLE,0010.png,Annemarie_masks,0.7185580249198839
STAPLE,0010.png,Feli_masks,0.8179114848915277
STAPLE,0010.png,Ida_masks,0.7242743014134403
STAPLE,0011.png,Annemarie_masks,0.8539652600923129
STAPLE,0011.png,Feli_masks,0.9337435479796551
STAPLE,0011.png,Ida_masks,0.8524537398703812
STAPLE,0012.png,Annemarie_masks,0.8858862222403242
STAPLE,0012.png,Feli_masks,0.8753581661891118
STAPLE,0012.png,Ida_masks,0.9192262678204455
STAPLE,0013.png,Annemarie_masks,0.8287425962697079
STAPLE,0013.png,Feli_masks,0.8556604685636944
STAPLE,0013.png,Ida_masks,0.7815792255382121
STAPLE,0014.png,Annemarie_masks,0.9106427214395814
STAPLE,0014.png,Feli_masks,0.9487314454153069
STAPLE,0014.png,Ida_masks,0.8650388929828872
STAPLE,0015.png,Annemarie_masks,0.9142412136776527
STAPLE,0015.png,Feli_masks,0.9354633570648975
STAPLE,0015.png,Ida_masks,0.9256921265840317
