method,file,exp,dice_score
STAPLE,0001.png,Annemarie_masks,0.9595689618599126
STAPLE,0001.png,Feli_masks,0.9554549684842845
STAPLE,0001.png,Mariam_masks,0.9223475434907283
STAPLE,0002.png,Annemarie_masks,0.9092732778198335
STAPLE,0002.png,Feli_masks,0.9276860008296528
STAPLE,0002.png,Mariam_masks,0.8799618718536832
STAPLE,0003.png,Annemarie_masks,0.7372302083764862
STAPLE,0003.png,Feli_masks,0.9466943412012678
STAPLE,0003.png,Mariam_masks,0.9135885415871368
STAPLE,0004.png,Annemarie_masks,0.5513350125944585
STAPLE,0004.png,Feli_masks,0.9330032739758843
STAPLE,0004.png,Mariam_masks,0.884861567810437
STAPLE,0005.png,Annemarie_masks,0.8786274970622797
STAPLE,0005.png,Feli_masks,0.880698917111965
STAPLE,0005.png,Mariam_masks,0.9388799838870752
STAPLE,0006.png,Annemarie_masks,0.9290942698706101
STAPLE,0006.png,Feli_masks,0.9131403118040089
STAPLE,0006.png,Mariam_masks,0.939225610006995
STAPLE,0007.png,Annemarie_masks,0.9590222861250898
STAPLE,0007.png,Feli_masks,0.9459580169718624
STAPLE,0007.png,Mariam_masks,0.9211356466876972
STAPLE,0008.png,Annemarie_masks,0.8650046125986584
STAPLE,0008.png,Feli_masks,0.8785583148130255
STAPLE,0008.png,Mariam_masks,0.9129237353209178
STAPLE,0009.png,Annemarie_masks,0.9182402761493479
STAPLE,0009.png,Feli_masks,0.8946471089685176
STAPLE,0009.png,Mariam_masks,0.903614359242924
STAPLE,0010.png,Annemarie_masks,0.9389000863806508
STAPLE,0010.png,Feli_masks,0.8553944008095216
STAPLE,0010.png,Mariam_masks,0.9571696718047893
STAPLE,0011.png,Annemarie_masks,0.9485966366264462
STAPLE,0011.png,Feli_masks,0.9420865114093193
STAPLE,0011.png,Mariam_masks,0.9218583741221535
STAPLE,0012.png,Annemarie_masks,0.7415086016762241
STAPLE,0012.png,Feli_masks,0.8779801369306958
STAPLE,0012.png,Mariam_masks,0.9297042813005738
STAPLE,0013.png,Annemarie_masks,0.9440825350036847
STAPLE,0013.png,Feli_masks,0.8825685098102806
STAPLE,0013.png,Mariam_masks,0.7912311430024295
STAPLE,0014.png,Annemarie_masks,0.9254672553721062
STAPLE,0014.png,Feli_masks,0.9297712914442431
STAPLE,0014.png,Mariam_masks,0.9044750948623743
STAPLE,0015.png,Annemarie_masks,0.926804110078155
STAPLE,0015.png,Feli_masks,0.9016126855166829
STAPLE,0015.png,Mariam_masks,0.9110215470469694
